timeOpen;timeClose;timeHigh;timeLow;open;high;low;close;volume;marketCap;timestamp
"2023-07-05T00:00:00.000Z";"2023-07-05T23:59:59.999Z";"2023-07-05T06:48:00.000Z";"2023-07-05T15:42:00.000Z";70.8221161827;73.736034285;66.4727657098;68.8291274152;156107716.29185578;993332439.9533134;"2023-07-05T23:59:59.999Z"
"2023-07-04T00:00:00.000Z";"2023-07-04T23:59:59.999Z";"2023-07-04T16:29:00.000Z";"2023-07-04T03:10:00.000Z";66.7879266695;73.5132586069;65.898558145;70.8160069321;210455055.7137064;1021574002.7259902;"2023-07-04T23:59:59.999Z"
"2023-07-03T00:00:00.000Z";"2023-07-03T23:59:59.999Z";"2023-07-03T19:07:00.000Z";"2023-07-03T06:34:00.000Z";64.8092823271;68.1015287908;63.5202333202;66.7926458499;111981260.75770229;966221943.8564548;"2023-07-03T23:59:59.999Z"
"2023-07-02T00:00:00.000Z";"2023-07-02T23:59:59.999Z";"2023-07-02T11:04:00.000Z";"2023-07-02T04:10:00.000Z";62.4215385379;66.6969837436;61.8752002246;64.8147099884;113776807.90426451;936362988.3288485;"2023-07-02T23:59:59.999Z"
"2023-07-01T00:00:00.000Z";"2023-07-01T23:59:59.999Z";"2023-07-01T00:04:00.000Z";"2023-07-01T04:34:00.000Z";64.5138956655;64.5757440125;61.2686604577;62.4214108571;69171341.7406932;902444998.4235201;"2023-07-01T23:59:59.999Z"
"2023-06-30T00:00:00.000Z";"2023-06-30T23:59:59.999Z";"2023-06-30T22:07:00.000Z";"2023-06-30T01:55:00.000Z";58.0586671563;65.3209667631;56.8363704507;64.5100507017;207759002.45071226;936804811.4795737;"2023-06-30T23:59:59.999Z"
"2023-06-29T00:00:00.000Z";"2023-06-29T23:59:59.999Z";"2023-06-29T13:25:00.000Z";"2023-06-29T00:53:00.000Z";54.4717398308;60.9826203453;54.2526081576;58.0652810465;144010459.68701038;834796887.5149164;"2023-06-29T23:59:59.999Z"
"2023-06-28T00:00:00.000Z";"2023-06-28T23:59:59.999Z";"2023-06-28T00:10:00.000Z";"2023-06-28T19:47:00.000Z";59.2552915725;59.4237880981;53.4617245969;54.4812530024;79223851.16881447;783768872.8096218;"2023-06-28T23:59:59.999Z"
"2023-06-27T00:00:00.000Z";"2023-06-27T23:59:59.999Z";"2023-06-27T03:39:00.000Z";"2023-06-27T00:37:00.000Z";58.0930555753;60.692660837;57.7602702001;59.2464992322;105379056.71547192;859204203.5800564;"2023-06-27T23:59:59.999Z"
"2023-06-26T00:00:00.000Z";"2023-06-26T23:59:59.999Z";"2023-06-26T00:01:00.000Z";"2023-06-26T23:46:00.000Z";63.1635035126;63.1665698093;58.0218115342;58.0875484301;150174620.5406734;838964267.0419031;"2023-06-26T23:59:59.999Z"
"2023-06-25T00:00:00.000Z";"2023-06-25T23:59:59.999Z";"2023-06-25T12:19:00.000Z";"2023-06-25T01:11:00.000Z";52.3226308524;69.7376640792;52.2133755826;63.166422947;626825405.7293433;911149200.4067825;"2023-06-25T23:59:59.999Z"
"2023-06-24T00:00:00.000Z";"2023-06-24T23:59:59.999Z";"2023-06-24T06:00:00.000Z";"2023-06-24T16:05:00.000Z";52.2700828304;53.3830110137;51.5544541655;52.3240374863;34634554.50910185;755402985.4196607;"2023-06-24T23:59:59.999Z"
"2023-06-23T00:00:00.000Z";"2023-06-23T23:59:59.999Z";"2023-06-23T16:16:00.000Z";"2023-06-23T14:04:00.000Z";50.6956670461;52.8883435763;50.6956670461;52.2639716504;35627532.59316551;751813132.7254899;"2023-06-23T23:59:59.999Z"
