Date,Open,High,Low,Close,Adj Close,Volume
2021-08-06,8.139106,8.598247,7.625733,8.319633,8.319633,290459576
2021-08-07,8.341841,9.085941,8.267282,8.778629,8.778629,294369686
2021-08-08,8.798242,8.901489,7.844896,7.992411,7.992411,213801376
2021-08-09,7.993976,8.632895,7.705511,8.379112,8.379112,249394200
2021-08-10,8.359632,9.076281,8.175041,8.835944,8.835944,328887407
2021-08-11,8.852872,10.337417,8.842929,9.576782,9.576782,452735910
2021-08-12,9.561953,10.351490,8.996955,10.315237,10.315237,421978966
2021-08-13,10.360409,10.671384,9.995763,10.647903,10.647903,342912692
2021-08-14,10.651309,10.890237,10.048533,10.352877,10.352877,263877773
2021-08-15,10.352766,10.783133,9.771164,10.695160,10.695160,275787663
2021-08-16,10.699824,11.384049,10.171597,10.734382,10.734382,515847958
2021-08-17,10.670439,12.269500,10.340792,10.744626,10.744626,754424053
2021-08-18,10.747482,11.380280,10.272242,10.773619,10.773619,507189374
2021-08-19,10.735602,12.182271,10.314289,11.984260,11.984260,540153093
2021-08-20,11.992007,12.560019,11.603831,12.532111,12.532111,421573319
2021-08-21,12.542504,12.658438,11.539723,11.691869,11.691869,384385739
2021-08-22,11.689205,11.999796,11.232274,11.762405,11.762405,240844897
2021-08-23,11.776915,12.067988,11.563008,11.744347,11.744347,223692786
2021-08-24,11.754015,11.867008,10.427062,10.479535,10.479535,319312978
2021-08-25,10.492888,10.758441,9.824376,10.392329,10.392329,306595149
2021-08-26,10.413752,10.619998,9.572368,9.873509,9.873509,270518099
2021-08-27,9.891612,10.410073,9.579453,10.353085,10.353085,269589250
2021-08-28,10.356515,10.417692,9.845234,9.986691,9.986691,172987076
2021-08-29,9.993223,10.216279,9.567843,9.839912,9.839912,194405766
2021-08-30,9.842089,10.335294,9.344949,9.726294,9.726294,258143343
2021-08-31,9.759656,10.393975,9.457469,10.234777,10.234777,342772787
2021-09-01,10.214256,11.753130,9.923681,11.735237,11.735237,512942378
2021-09-02,11.682699,11.758399,10.892872,11.070024,11.070024,265436690
2021-09-03,11.049601,11.414217,10.757947,10.992158,10.992158,246552367
2021-09-04,11.008700,11.208060,10.806011,11.033292,11.033292,185221378
2021-09-05,11.019654,12.014754,10.930933,12.006563,12.006563,368248852
2021-09-06,12.011094,12.031551,11.216292,11.465375,11.465375,240919292
2021-09-07,11.468138,11.586710,7.931757,9.174847,9.174847,601269333
2021-09-08,9.175842,9.841507,8.547118,9.557607,9.557607,350320918
2021-09-09,9.452706,10.069995,9.271430,9.309847,9.309847,306973888
2021-09-10,9.304062,9.633690,8.307997,8.572657,8.572657,229796761
2021-09-11,8.578160,9.203596,8.533942,8.956718,8.956718,152369198
2021-09-12,8.954351,10.091047,8.768344,10.010909,10.010909,295851661
